i,cell0,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40,cell41,cell42,cell43,cell44,cell45,cell46,cell47,cell48,cell49,cell50,cell51,cell52,cell53,cell54,cell55,cell56,cell57,cell58,cell59,cell60,cell61,cell62,cell63,cell64,cell65,cell66,cell67,cell68,cell69,cell70,cell71,cell72,cell73,cell74,cell75,cell76,cell77,cell78,cell79,cell80,forced_board,winner,confidence
36, , , , ,X, , ,X,X, , , ,X,X, , ,X, ,O, , , ,O, ,X, , ,O,O,X, , ,O, ,X, ,O, , ,X, ,O,O, ,O, , ,O,X,X, , , , , , , ,O,X,X, , , , ,O, , , , ,O, ,O, ,X,X,O, , , , , ,1.0,O,-1.0
37,X, ,O,X,X, ,X, , , , ,X, ,O, ,O, ,X,O,O, ,X,X,X,X,O,X,O, ,O, , , ,O,O,O,O, ,O,X,O,X, ,X,X,O,O,O,X, ,X, , , , ,X,X,X,O,O,O, , , ,X,X, ,X,X, ,O, , , ,O,X, ,O,O,O, ,6.0,X,462.0
38, , ,O,X,X,O,X,O,X, ,O,O, ,O, ,X,X, ,O,O, , ,X,X,X,X,X, , ,X,X, ,X, ,O,X,O,X,O,O,X,X,X,X,O,O,X,O,O,O, , ,X,O,O, , ,O,O,X,O, , , , ,O, ,X,O, , ,O,X,X,X,O, , , ,X,O,,Draw,0.0
39,O, ,X,X, , , , ,X,X, ,O,X,X, ,X, ,X, ,O, ,X,X,O, ,X,X,X,O,O,X,O,O, ,O, ,O, , ,O, , ,O,X, , ,X,X,O, , ,X, ,X, , ,O, ,X,O,X,O,X,O,O, ,X, ,X,O,X,X, ,O,O,O, ,O,O,O, ,0.0,Draw,-4.5
40, , , ,O, ,O, , , , ,O, , ,O,O, ,X, , ,X, , ,O, , , , , ,X, , , , ,O, , , ,X, , , , ,X,X,O,X, , , , , , , , , , ,O, , , , , ,X, , , , ,O, , , ,O,X, ,X,X,X, , , ,O,5.0,O,1.5
41, , ,X,O, , , , , ,O, , , , ,O,O, , ,X, , ,X,O, , , , , ,X, , ,X,X, ,O, , , ,O,O, , , , , , , , , ,X, , ,O,O, , , , , ,X, ,X,O, ,X,O, , , ,O,X, , ,X, , , , ,X, , ,4.0,Draw,1.0
42, ,X, , , , , , , , , , , , , , ,X,O, , , , , , ,X,X, , ,O, , , , , , ,X, , , , , , , , , , , , , , ,O,X, ,O,O, , ,O, ,X, , ,O, , ,O, , , ,O, ,X, ,O,O,X, ,X,X,O,X,1.0,Draw,-1.0
43, , , , ,O, , ,X, ,O, ,O,O, , ,O, , , , ,X,O, ,X,O, , ,X,X, ,X, ,O,O,O,X, ,X, ,O, , , , , , ,X, ,X, ,O,O, ,O, ,X,X,X, ,X, ,X, , , , , , ,X, , ,O, , ,O, ,X, ,O, ,X,7.0,X,105.5
44,X,O,O, ,X, , , ,X,O,O,X,X, ,X,X,X, ,O, ,O,X,X,O,X, , , ,X,O, , , ,O,X,O, , , , , ,O, ,O,O, ,O, ,O,X,X, , ,O,O,O,X, , , , , ,O,O,O, , , ,O, , ,X,X,X,X,X, , ,X,X,O,5.0,X,254.5
45, , ,X,O, ,O,X,X,X,O, , ,O, , ,X, , ,O, ,X, , , ,X,O,O,X, , ,O,X,X, ,X, ,O, , , ,X,O,X, ,O, , , , ,O, ,O,X,X,X,O,O,X, , ,O,O,O, ,X,O, ,O, , , ,X,O,X,X,O,X,X,X, ,O,7.0,X,-207.0
46,O,O,O, , , , , , , , , , , , ,X,X,X,X, ,O, , ,X,O,X,O,O,X,X,X, , ,O,X, ,X, , , , ,X, , , ,O,O,O,X,O,O,X,X, ,X,O,X,O, ,O, ,X, , , , ,O,O,O, , ,O,X, ,X, , ,X,X, ,O,,Draw,475.5
47, ,O,O,X,X, ,O,X, ,X,X, ,O, ,X, ,O,O,X,X, , , , ,O, ,X, ,X,X, , ,O,O, , ,O, , , , , ,O, ,O,O, , , , ,O, ,X, ,O, , , ,X,X,X,X, , ,O,O,O,X, , , , ,X, ,O,X, , , , , ,5.0,X,6.0
48, , ,O, ,O,O, ,X,X, , ,O, , ,X, ,O, ,X, , , ,O, ,O,X,O,X, , ,O,O,X, ,O, , ,O,X,X,X, ,X,O, ,O, , ,O, ,X,X, ,O,X, ,X, ,X,O,O, , , ,X,X,X,O, ,X,O,X,O,X, ,X, , ,O, , ,6.0,X,-204.5
51,O, ,X, , ,O,O, , , , , ,O,O, , , ,X,X,X,O, , , ,O,X, ,X,O,X, , , , , , ,X,X,O, , , , ,O, , , ,O,X,X, , , , , , , , ,X, , ,X,X, ,O, ,O, ,X,O,X, , , , , ,O,O, , , ,1.0,O,0.5
52, , , , , , , , , , , , , , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,O, , , , , , , , , , , , , ,4.0,X,1.5
53,O, ,O,O,X,O, ,X,X, ,O, ,O,O,X,X,X,X,X,O,X,O,X,O,O,O, , ,X,X, ,X,X,X, , ,O,O,X,O,X,O,O,O,X,X,X,O,O,X,X,X,X,O,X, ,X,O,O,O,O,X,X,X,O, , , ,O,O, ,X,O,X,X, ,O, , , ,O,7.0,O,10000.0
54, , ,O, ,O, , ,X, , , , , ,X,X, , , , , , ,X, ,O, , , ,X,O, , , ,X, , , , , ,X, ,O,X, ,X,O,O,O, ,O,X,X,O, , ,X, , , , , , , ,X, , , ,O, ,O, , , , ,X, , , , ,O, , ,1.0,Draw,111.5
55,X,X, ,X,O, , , , ,O, , , , , , , , , , , , , , , , , , , , , , , ,O, ,O, , , , , , ,X, , , , , , , , , , , ,O,X, , , , , , , , , , , , , , , , , , , ,X, , , , , ,1.0,O,2.5
56, , , , , ,X,O, ,X,O,X,O,O,O, , , , , ,X, ,X,O, , ,X,X, , ,O,X,O, ,O,O, , ,X, , ,X, ,O,X,X, , ,X, , ,O,X,O, ,X,X, , ,O,X, , ,X, , ,O,X, ,O,O,X, ,O,O,O,X,O, , , , ,,Draw,203.5
57, , , , , , ,O, , , , , , , , , ,O, ,X, , , , , , , , , , , , , , , , , , ,X, , , , ,X, , , , , , ,O,X, ,O, , , ,O, , ,O,X, , , , , , , ,X, , , , , , , , , , , , ,7.0,X,1.5
58,O,X, , ,O, , ,O, ,X,O,O, ,X, ,O, , , ,X,X,O, ,O, , ,X, , , ,O, , ,X, , , ,O,O, , ,O, ,X,O,X, , , ,X,O,X,X,O, ,X,X, ,X,X,O, ,O, , , , , ,O,O, ,X,X, , ,X,X,X,O, ,O,3.0,X,-42.0
59, , , , , , ,O,O,O,X,O,X,X,X,O,O, ,O,X, , ,X,X,X, ,O,O,X, ,O, ,O, ,O, , ,X,O,O,X,X,O,O,O, ,O,X, ,O,O,O,X, ,X,X,X,O, ,X,X,O,X, ,X,X, ,X,X,X, ,O,X, ,O,O, ,O,X,X,O,X,4.0,O,10000.0
60, , ,O,X, ,O, ,O, , , , ,X,O,X,O, , , , ,X,O, , , ,X,O,X, ,O,O,O,X,X,O,O,X, , , ,X,X, , ,O,X,X, ,O, ,O,O,X,O,O,X, ,X, , , , ,O, ,O, , ,O,O, ,X,X, ,O,X,X, ,X,X, ,X,5.0,O,314.5
61, , , ,O, , , , , , , , , ,O, ,O, ,X, , , , , ,X,X, , , , , , ,X, , ,X, ,X,X, , , , , ,O, , ,O, , , ,X,X, ,O,X, ,O, , , ,O,X, , , ,O,O, ,O, ,X, , ,X, , , ,O, , , ,0.0,Draw,1.0
62, , , , ,O, , , ,X, , , , , ,X, , , , , , , , , ,X, , , , , , , , , , , , , , , , ,X, , , ,X,O, , , , , ,O, , , , , , ,O, , , , , , , , ,O, ,X, , , ,O, , , , , , ,5.0,X,3.5
63, , , , ,X, , , , , , , , , , , , , , , , , ,O, , , , , , , , , , , , , , , , , , , ,O,X, , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , ,7.0,O,0.5
64, ,X, , , ,X, ,O,O, , ,O, ,O,O,X,O,X, ,O,X,X,O,X, , ,X,X, ,O,O,O,X,O,O,O, ,X,X,X, ,X,O, , , ,O,O,X, ,O, , ,O, ,X, ,X,O,O, ,X, ,O, , , ,X,X, ,X,X,O,X,X,X, ,X, ,O,O,7.0,X,109.5
65,X, , , , , , , , , ,O, ,X, , , ,X, , , , , , ,X, , , , , , , , ,O,X, , , , , , , , , , , , ,X, ,O, , ,X,X,X, ,O, , , ,O, , ,O,O, , , , ,O,X,O, , , ,O, , , , ,X, ,0.0,O,-106.0
66, , , , , , , , , , , , , , , ,X, ,O, ,X, , ,O, , , , , , , , , ,X, ,X, , , , , , , , ,X,X, , , , , , , ,O, , , ,X,O, , , , , , ,O,O, ,O, ,X,X, , , , ,O, , , ,O,X,6.0,Draw,0.5
67,X, , , , , , , , ,O,X, ,O,O, , , , , , , , , , , , , , , , , , ,X, , , , , , , , , ,X, , , , , , , , , , ,O, , , , , , , ,O, , ,X, , , , , , , , ,X, , , , , , , ,0.0,X,3.0
68,X,O,O, ,O, ,O,X,X,O,O,X,X, ,X, ,O,X,X,X,O,O,X,X,O,O,X,O,X,O, ,X, ,O,X, , ,O, , ,O, , ,O, ,O,O, , ,X,X,O,O,O,X, ,X,X, ,X,X, ,O, ,X,X,O,X,O,O,O,X,X,O,X,O,O,X,O,X,X,7.0,X,10000.0
69, , , , , , ,O, , , , , , , , , , , , , , , , , ,O, , , , , , , , , , ,O, , , , , , , , , , , , , , , , , , ,X, ,X,X, , , , , , , , , , , , , , , , , , , , , , , ,8.0,O,2.5
70, , , , , , , , , , ,O,X,X, , , , , , , ,O, , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X, , , , , , , , ,O, , , , , , , ,3.0,X,0.0
72, ,X,O, , ,O,O, , , ,O, , , , , ,X, , , , ,O,X, ,X, , ,X, , , ,O,X, , , ,X, ,X, , , ,O,X, ,O, , , , , , ,X, ,X, , ,X,O, ,X, ,X, , ,O,O, , ,O, , , , , , ,O, , , , ,,Draw,1.5
73, ,X,O,X,X,X, ,O,X,X,O,X,X,X, ,O,X, ,O,X,O,X,X,X,O,O,X,O,O,X,O, ,X, ,O,O, ,O,O, , ,O, , ,X,O,O,O,X,X,O, ,O, ,O,O,X,X, ,X,X, , ,X, ,X, ,O,X,X, , ,O, ,O,O, , ,O, ,X,4.0,X,-152.5
74, , ,X, ,X, , , , , , , , , , ,O, , ,O, , , ,X, ,O, , , , , ,O, ,X, , , , , ,O, , , , , ,O,O,X, , , , , , , , , ,X, , ,O,X, , , , , ,X, , , , , , , , , , , , , , ,8.0,X,2.5
75, , , ,X, , , , , , , , , , , , , ,X, , , , , , , , , , , , , , ,O, , ,O, ,O, ,X, , , , ,O, , , , ,X, , ,O, , , , , , , , , , , , , , , , , , ,X,O, , , ,X,X, , , ,8.0,O,0.0
76,X,O, ,O, , , , , , , , , , , ,X, , , , , , , , , , , , , , , ,O, ,X, , ,O, , , ,X,X, , , , , ,O, , , , , , ,X, , ,X,O, ,O, , , , , , , , , , , , , , , , , , , , ,2.0,X,1.5
77,X,X, , ,O, ,O,X,O, , ,O, ,O, , , , ,O, , , , ,X, , ,X, , , , , , , , , ,X,X, , ,X,O,O,X,O,O, , , ,O,X,X,O, , , ,O, ,X,X, ,O, ,X, , , , ,O,X,O,X,O, ,X, ,X, , , , ,8.0,X,-208.0
78, ,O, , , , , , , ,O, ,X, , , , , , , , , , , , , , ,O, , , , , , , , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , ,X, , , , ,O, , , , , , , , , , ,X, ,0.0,X,1.5
79, , , , ,O, , , ,X, , ,O,X,X,O, , , , , , ,X,X,X, , , ,X,X,O, , ,O, , ,X,X, ,O,O, ,X, , ,X, ,X,O,O,O,X,X, , , , , , ,O, , , , , , , , , , , , , , ,O,O, , ,O, , , ,0.0,X,-102.0
80, , , , , , , , , , , , , , , , , , , , , , , , ,O, , , , , , , , ,O, , , , , , ,X,O, , , , , , , , , , , ,X, , ,X, ,O, ,X, , , , , , , , , , , , , , ,X, , ,O, , ,6.0,X,2.0
81,O,O, , , ,X, ,X, , , ,X,O, ,X, , , , , , , , , ,X, ,O,X,X, ,X, , , , ,O, ,O, , , ,O, , , ,O, , , ,X, ,O,O,X, , ,O, ,O,O,X, , , , , ,O,X, , , , ,X, , ,O, ,X,X, , ,4.0,Draw,3.0
82, , , , , , , , , , ,X, , , , ,O, , , , , , , , , , , , , , ,O, , , , , , , , , , , ,O, ,X, , , , , , , , , , , , ,X,X, , , , , , , , , , , , , , ,O, , , , , , , ,3.0,Draw,2.5
83,X,O,O,O,X,X,O,X,O,X,O, ,O, , ,X,X,X,O,X,X, ,X,O, ,O,O,X,O, , ,O, ,X,O, , ,X, ,O,O,O,X,O, ,O,X, , ,X, ,O,O,X,O,O,O, , , ,X, ,O,X, , ,X,X,X, ,O,O, ,X,X,X,X,X, ,O, ,5.0,O,-10000.0
85, ,O, ,O,X, ,O, ,O,X,X,X,X,O,O,O,O,X, ,O, ,X, ,X,X,X,X,O,O,O,X,X,O,O,X,X,X,X,O,O, , ,O,O,O, ,X,X,O,X,X,O,O, ,X,O,X, ,X,X,X,O, ,X,O, ,X, ,O,X,X, , , ,O,O,O,X,O,O,X,5.0,O,10000.0
86,O,X, , ,X,X, , ,X, ,O, ,X,X,O,X,X, , ,X, , ,O,X, ,X,X,O, ,O, , , , , ,O,O, ,X,X,O,O, , ,X,X,O,O, , , ,X,X,X, , ,O, , ,O,X,O, ,O,O,O, , , , ,X, , ,O, ,X, ,O,O,O, ,0.0,Draw,154.5
87, , , , ,X, ,X, ,O,O, ,O, , ,X, ,X, , , ,O, ,X,X,X, ,X, , , ,X, ,O, , , , , , ,O,X,O,O, ,X, ,X,O, ,O,O, , ,X, ,O, , ,O,X, , ,O, ,O,X, , , , , , ,X,X,O, , , ,X,O,O,5.0,X,3.0
88,X, ,X,O, ,O,X, ,O, , , ,O, , , , , ,O, , , , ,O,X, ,O,O, ,X, ,X, ,O, ,X, , ,O,X, ,X,O, , ,O, ,X, ,X, , , , ,X, , ,O,O, ,X, ,O, , , ,X, , , , , ,X,X, , ,O, , , ,X,8.0,X,4.5
89, ,O,X, ,X,X, , , ,O,X, , , , , ,O,X, , , ,X, ,O,O, , ,O, , ,X,O, , ,O, , , ,X, , , , , ,O, ,O, , , , , ,O, , , , ,X, , , , ,X,X,X, , , , ,O,X, , , ,O,O, ,X, , , ,5.0,Draw,3.0
93, , , ,O,O, , , , , , , , , , ,X,X,O, , , , , , , ,O, ,X, , , ,X,X, , , , , , ,O, ,O, , , , ,X, ,O, , , , , , ,O, , , , , ,O, ,X, , , ,X, ,X,O,X, ,O,X, , , , , , ,4.0,O,110.0
96, , , , ,O, , , , , , ,O, , , , , ,X,X, , , , ,X, , , , ,O, , , ,X, , , , , , , , ,X,X, ,X, ,X,O,X, , ,O, , , , , , , , , ,X,O, , , ,O,O, , , , , , , , ,O,O, ,X, ,5.0,O,5.0
97,O, ,O, , ,X,O, ,O, ,O,X, , ,O,X,X,O, ,X,X,O,X,O,O, ,O,X, , , ,O, , ,O, ,X, ,X, ,O,O,O,O,X, , ,X, ,X, ,X,O, ,X, , ,X,O,O,X,O,X,X, , ,X,X, , , ,X, ,X,O,X,X,O,O,O,X,3.0,X,-315.0
98, , , , ,O, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X, , , ,X, , , , , , ,O, , , , , , , , , , , , , , , , ,X, , , , , , , , , , , ,6.0,O,0.5
99, ,X,X,O,X,X,O, ,O,O, , , , ,O,O,O, ,O,X,X,O, , ,O,O, , , ,X, ,X,X, , ,X,X, ,O,O,O, , , , ,O, , ,O,X,O,O,O,X,X,X,X,O, ,X, , , ,X,X,O, , ,X,X,X, ,O, , , , ,X,O, , ,,X,10000.0
100,X, ,X,O,O, , , , , ,O, ,X, ,O, , ,X, , ,X,O,O,O,X, ,O,X,X, , ,X, , , , ,O, ,O,O,X, ,X,O,O, ,X,X, ,X, ,X, ,X, , ,O, , ,O, , ,O, , , , ,X,O, , , ,O, ,X, ,X,O, ,X, ,3.0,O,256.0
101, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.0,X,0.5
102,X, , ,X,O, , , , , ,O,X, ,X, ,X, , , , , , , , , ,O,X,O, , , , , ,X,O,O, ,X, ,O,X,X,X,O,X, ,X, , ,O, , ,X,X, , , ,X,O,O,O,X, , ,O, ,X,O,O,O,X,X,O,O,O, ,O,O, , ,X,6.0,Draw,-45.5
103,O,O, ,X,O,X,X,O, ,X,O,X, ,X,X,O,X,O, , ,X,O, , ,O,O,X,O, , ,X,X,O, ,O,O,O,O,O,O, ,O, , ,X, ,O,X,X,X,O,X,O,X,X, , ,X,O,O, ,X,O,X,X,O, ,X,O,X, ,O, ,X,X, ,X,X, ,X,O,2.0,Draw,10.0
104, , , , , ,X, , , , , ,O, ,X, ,O, , , , , ,X, , , , ,X, ,X,O, , ,X, ,O, , ,X, , , ,O, , , ,O,O, ,O, ,X, , , , , , , , , , ,X,X, , , ,X,O, , , , , , , , ,O, ,O, , ,4.0,X,0.5
107, , , , , , , ,X, , , , , , , , , , , , , , , , , , , , , , , ,X, , , , , , , ,O, , ,O,O, ,O, , , , , , ,X, , , , , , ,X, , , , , , , ,X, , , ,O, , , , ,X, , , , ,7.0,X,0.5
108,O,X,X, ,X, , ,O,X, , ,X, , , , ,O, ,O, ,O,O,X, ,O, , ,O, ,X,X,X,O, ,O,O, , , ,O, ,O,O,O, ,X, , ,O,X, , , ,X,X,X, ,X, , , , , ,O,O,X,X, ,X, ,X, , , ,X, , ,X,O, ,O,1.0,Draw,50.0
